단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
008730,KR7008730004,율촌화학,ST,2.0,0,8,0,Y,N,N,3,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,21300,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,38831,500,19880830,24800,14776380000,12.0,,0,,N,Y,Y,2338,-43,-31,227,14.42,20240630.0,5282,,N,N,N
008770,KR7008770000,호텔신라,ST,2.0,0,16,0,N,N,N,8,Y,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,44900,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,177857,5000,19910312,39248,196240605000,12.0,,0,,N,Y,Y,19835,398,431,258,8.28,20240630.0,17622,511,N,N,N
008775,KR7008771008,호텔신라우,ST,0.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,38200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,829,5000,19910809,751,3759395000,12.0,,1,,N,N,N,0,0,0,0,0.0,,287,,N,N,N
008870,KR7008870008,금비,ST,3.0,0,10,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,60400,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1841,5000,19900608,1000,5000000000,9.0,,0,,N,N,Y,1923,92,77,43,4.13,20240630.0,604,,N,N,N
008930,KR7008930000,한미사이언스,ST,2.0,0,21,0,N,N,N,A,Y,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,33800,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,191994,500,19880620,68391,34978470000,12.0,,0,,N,Y,Y,6292,193,570,514,12.99,20240630.0,23116,,N,N,N
008970,KR7008970006,동양철관,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,913,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2586007,500,19770305,146792,73396122000,12.0,,0,,N,N,Y,1338,40,-208,-209,-45.37,20240630.0,1340,,N,N,N
009070,KR7009070004,KCTC,ST,3.0,0,19,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5040,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,899738,500,19780929,30000,15000000000,12.0,,0,,N,N,Y,4359,229,215,163,11.22,20240630.0,1512,,N,N,N
009140,KR7009140005,경인전자,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,20800,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3271,5000,19890620,1570,7853985000,12.0,,0,,N,N,Y,111,-3,21,20,5.46,20240630.0,326,,N,N,N
009150,KR7009150004,삼성전기,ST,1.0,0,13,0,Y,N,Y,5,Y,Y,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,133000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,285260,5000,19790227,74693,373468480000,12.0,,0,,N,Y,Y,52044,3884,4506,3678,8.82,20240630.0,99342,511,N,N,N
009155,KR7009151002,삼성전기우,ST,0.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,61500,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,9877,5000,19891010,2906,14534920000,12.0,,1,,N,N,N,0,0,0,0,0.0,,1787,,N,N,N
